Libor Rates (USD),Latest,Wk ago,High,Low
Libor Overnight,1.44500,1.44000,1.44500,0.68056
Libor 1 Week,1.47313,1.46938,1.48913,0.71000
Libor 1 Month,1.59563,1.58750,1.59563,0.77722
Libor 2 Month,1.73311,1.69879,1.73311,0.85111
Libor 3 Month,1.89213,1.83338,1.89213,1.05011
Libor 6 Month,2.11863,2.04863,2.11863,1.35711
Libor 1 Year,2.39813,2.31906,2.39813,1.69511
